entry_time,exit_time,direction,size,entry_price,exit_price,reason,pnl,cash_after
2025-03-27T10:01:00+03:00,2025-03-27T11:44:00+03:00,Long,1,85.4200,85.6592,take_profit,0.2392,29993.47
2025-03-28T10:02:00+03:00,2025-03-28T13:30:00+03:00,Long,1,84.9500,85.1879,take_profit,0.2379,29993.71
2025-03-31T10:01:00+03:00,2025-03-31T10:17:00+03:00,Long,1,87.7200,87.9656,take_profit,0.2456,29993.96
2025-04-01T10:01:00+03:00,2025-04-01T10:12:00+03:00,Long,1,87.0300,86.4382,stop_loss,-0.5918,29993.37
2025-04-02T10:01:00+03:00,2025-04-02T10:15:00+03:00,Long,1,85.9700,86.2107,take_profit,0.2407,29993.61
2025-04-03T10:01:00+03:00,2025-04-03T10:07:00+03:00,Long,1,85.9800,86.2207,take_profit,0.2407,29993.85
2025-04-04T10:01:00+03:00,2025-04-04T10:13:00+03:00,Short,1,86.1100,85.8689,take_profit,0.2411,29994.09
2025-04-07T10:01:00+03:00,2025-04-07T10:19:00+03:00,Long,1,88.9100,88.3054,stop_loss,-0.6046,29993.48
2025-04-08T10:01:00+03:00,2025-04-08T12:09:00+03:00,Short,1,87.8000,88.3707,stop_loss,-0.5707,29992.91
2025-04-09T10:01:00+03:00,2025-04-09T10:54:00+03:00,Short,1,89.0600,88.8106,take_profit,0.2494,29993.16
2025-04-10T10:01:00+03:00,2025-04-10T10:05:00+03:00,Long,1,87.1800,87.4241,take_profit,0.2441,29993.41
2025-04-11T10:01:00+03:00,2025-04-11T10:03:00+03:00,Short,1,86.5700,86.3276,take_profit,0.2424,29993.65
2025-04-14T10:01:00+03:00,2025-04-14T11:21:00+03:00,Short,1,84.9300,84.6922,take_profit,0.2378,29993.89
2025-04-15T10:01:00+03:00,2025-04-15T11:05:00+03:00,Short,1,84.6800,84.4429,take_profit,0.2371,29994.12
2025-04-16T10:01:00+03:00,2025-04-16T10:31:00+03:00,Long,1,84.4900,83.9155,stop_loss,-0.5745,29993.55
2025-04-17T10:01:00+03:00,2025-04-17T10:03:00+03:00,Short,1,84.5300,84.2933,take_profit,0.2367,29993.79
2025-01-17T10:01:00+03:00,2025-01-17T10:15:00+03:00,Long,1,103.7100,104.0004,take_profit,0.2904,30000.29
2025-01-20T10:01:00+03:00,2025-01-20T15:45:00+03:00,Long,1,102.9600,102.2599,stop_loss,-0.7001,29999.59
2025-01-21T10:01:00+03:00,2025-01-21T12:41:00+03:00,Long,1,102.0800,101.3859,stop_loss,-0.6941,29998.90
2025-01-22T10:01:00+03:00,2025-01-22T12:51:00+03:00,Short,1,100.3700,100.0890,take_profit,0.2810,29999.18
2025-01-23T10:01:00+03:00,2025-01-23T19:30:00+03:00,Short,1,100.6500,101.3042,stop_loss,-0.6542,29998.52
2025-01-24T10:01:00+03:00,2025-01-24T10:34:00+03:00,Short,1,101.0100,100.7272,take_profit,0.2828,29998.81
2025-01-27T10:01:00+03:00,2025-01-27T10:45:00+03:00,Long,1,100.5300,99.8464,stop_loss,-0.6836,29998.12
2025-01-28T10:01:00+03:00,2025-01-28T10:14:00+03:00,Long,1,100.0700,100.3502,take_profit,0.2802,29998.40
2025-01-29T10:01:00+03:00,2025-01-29T10:45:00+03:00,Short,1,99.4900,99.2114,take_profit,0.2786,29998.68
2025-01-30T10:01:00+03:00,2025-01-30T11:14:00+03:00,Long,1,99.4800,99.7585,take_profit,0.2785,29998.96
